date,region,product,channel,units_sold,revenue
2024-01-01,West,Headphones,Online,13,1957.19
2024-01-02,East,Smartwatch,Online,33,8930.84
2024-01-05,East,Smartwatch,Partner,7,1899.96
2024-01-07,North,Smartwatch,Partner,18,4532.16
2024-01-09,South,Tablet,Online,9,3774.04
2024-01-10,West,Laptop,Retail,37,29181.36
2024-01-11,East,Smartwatch,Online,49,12877.86
2024-01-11,South,Smartwatch,Online,1,228.55
2024-01-12,West,Tablet,Online,48,18116.74
2024-01-13,East,Smartwatch,Online,42,9582.76
2024-01-14,South,Laptop,Retail,16,13027.46
2024-01-14,North,Phone,Partner,37,22586.83
2024-01-15,West,Tablet,Partner,44,18649.46
2024-01-15,North,Tablet,Online,19,7384.86
2024-01-16,South,Smartwatch,Partner,29,6575.46
2024-01-16,North,Phone,Online,33,20203.99
2024-01-16,West,Smartwatch,Retail,42,11458.97
2024-01-16,North,Smartwatch,Online,25,6149.79
2024-01-17,West,Smartwatch,Online,16,3764.87
2024-01-17,South,Headphones,Retail,24,3559.64
2024-01-20,South,Headphones,Online,3,494.75
2024-01-20,East,Headphones,Online,7,994.31
2024-01-23,East,Headphones,Partner,2,273.65
2024-01-23,East,Smartwatch,Retail,42,9817.69
2024-01-24,North,Smartwatch,Retail,45,12249.2
2024-01-24,North,Phone,Partner,22,14002.47
2024-01-25,South,Laptop,Retail,29,21967.33
2024-01-25,South,Headphones,Partner,40,5948.54
2024-01-26,South,Phone,Online,7,4127.17
2024-01-26,West,Tablet,Online,39,16542.03
2024-01-26,North,Tablet,Retail,43,16938.61
2024-01-27,East,Headphones,Partner,39,5970.42
2024-01-27,North,Headphones,Retail,3,405.32
2024-01-27,East,Phone,Partner,5,3168.74
2024-01-28,North,Laptop,Retail,47,36391.56
2024-01-29,South,Laptop,Retail,26,19833.8
2024-01-29,North,Smartwatch,Online,20,4664.66
2024-01-30,West,Headphones,Partner,34,4726.77
2024-01-30,North,Tablet,Online,4,1626.94
2024-01-31,South,Headphones,Retail,31,4616.93
2024-01-31,North,Headphones,Online,19,2798.05
2024-02-01,North,Headphones,Retail,11,1618.79
2024-02-02,West,Laptop,Retail,13,9451.12
2024-02-02,South,Headphones,Retail,27,3887.8
2024-02-04,South,Tablet,Retail,25,10898.93
2024-02-04,North,Laptop,Online,28,20592.61
2024-02-05,North,Phone,Retail,8,5223.93
2024-02-06,South,Tablet,Partner,32,12068.45
2024-02-07,South,Smartwatch,Partner,43,10876.53
2024-02-07,North,Headphones,Retail,45,6161.08
2024-02-07,East,Headphones,Retail,3,410.12
2024-02-08,West,Smartwatch,Online,4,1030.43
2024-02-08,North,Laptop,Retail,9,7693.26
2024-02-09,East,Tablet,Online,47,19270.13
2024-02-09,South,Smartwatch,Retail,26,6258.7
2024-02-10,East,Headphones,Partner,17,2676.14
2024-02-10,North,Tablet,Online,10,4039.04
2024-02-10,North,Headphones,Online,49,7398.08
2024-02-11,West,Smartwatch,Partner,24,5493.72
2024-02-11,North,Headphones,Partner,21,3215.34
2024-02-12,West,Headphones,Partner,22,3343.47
2024-02-13,South,Smartwatch,Partner,11,2851.92
2024-02-13,South,Laptop,Partner,49,38542.8
2024-02-13,East,Smartwatch,Retail,42,11112.49
2024-02-13,East,Laptop,Partner,35,28041.04
2024-02-14,North,Tablet,Retail,46,19205.44
2024-02-15,South,Smartwatch,Partner,47,12573.28
2024-02-15,West,Laptop,Online,28,22798.14
2024-02-17,East,Headphones,Online,19,2800.87
2024-02-18,North,Phone,Online,45,29092.79
2024-02-19,West,Tablet,Retail,27,10728.77
2024-02-19,West,Tablet,Retail,36,15664.17
2024-02-19,West,Headphones,Retail,5,720.04
2024-02-20,South,Phone,Retail,43,23638.93
2024-02-20,East,Phone,Online,3,1723.28
2024-02-21,North,Headphones,Partner,44,6868.34
2024-02-21,North,Tablet,Partner,9,3670.02
2024-02-21,West,Laptop,Partner,30,21673.67
2024-02-24,North,Laptop,Retail,29,22550.02
2024-02-24,South,Tablet,Retail,39,14697.16
2024-02-25,South,Phone,Online,35,20784.18
2024-02-25,West,Laptop,Retail,15,11278.97
2024-02-25,East,Smartwatch,Retail,8,2105.04
2024-02-26,South,Phone,Partner,28,17123.93
2024-02-26,West,Smartwatch,Partner,2,513.2
2024-02-26,West,Smartwatch,Retail,47,12624.43
2024-02-28,East,Headphones,Online,19,2951.58
2024-03-03,West,Laptop,Partner,14,11517.42
2024-03-03,West,Phone,Retail,43,25960.64
2024-03-04,East,Laptop,Online,18,14254.04
2024-03-04,West,Tablet,Partner,48,19861.79
2024-03-05,South,Headphones,Partner,11,1572.47
2024-03-05,East,Smartwatch,Partner,38,9591.88
2024-03-06,South,Phone,Retail,33,21426.42
2024-03-06,South,Headphones,Partner,25,3882.99
2024-03-06,North,Tablet,Retail,3,1295.74
2024-03-06,South,Laptop,Online,20,15881.61
2024-03-06,North,Headphones,Partner,24,3253.13
2024-03-07,East,Phone,Partner,29,17579.85
2024-03-08,East,Laptop,Online,24,18374.35
2024-03-08,West,Phone,Retail,27,15196.93
2024-03-08,East,Headphones,Partner,32,4436.57
2024-03-09,East,Laptop,Online,35,27401.13
2024-03-09,West,Tablet,Online,8,3091.64
2024-03-10,West,Tablet,Retail,29,12457.52
2024-03-10,North,Tablet,Retail,22,9564.28
2024-03-11,East,Tablet,Retail,8,2884.95
2024-03-11,North,Smartwatch,Partner,38,9004.64
2024-03-12,West,Tablet,Online,1,380.86
2024-03-12,North,Smartwatch,Partner,23,5236.75
2024-03-12,North,Smartwatch,Online,38,9351.65
2024-03-13,North,Laptop,Retail,25,21456.66
2024-03-14,West,Phone,Online,31,19647.27
2024-03-14,West,Laptop,Online,48,39422.76
2024-03-14,South,Smartwatch,Partner,26,6500.1
2024-03-15,West,Phone,Partner,33,20775.32
2024-03-15,South,Smartwatch,Retail,12,2765.96
2024-03-17,East,Phone,Online,4,2239.64
2024-03-17,East,Headphones,Online,49,7405.75
2024-03-18,West,Phone,Retail,33,20888.89
2024-03-19,South,Phone,Partner,50,30748.44
2024-03-19,South,Laptop,Retail,27,20869.41
2024-03-19,West,Phone,Partner,25,14450.03
2024-03-20,South,Tablet,Online,6,2342.37
2024-03-21,West,Headphones,Retail,42,5921.31
2024-03-22,West,Smartwatch,Retail,32,8606.52
2024-03-23,South,Smartwatch,Online,17,3869.35
2024-03-23,North,Smartwatch,Retail,32,7231.16
2024-03-25,West,Phone,Partner,35,19013.26
2024-03-25,South,Smartwatch,Online,36,8388.24
2024-03-25,West,Laptop,Retail,24,19877.23
2024-03-26,North,Smartwatch,Partner,44,11322.84
2024-03-26,North,Phone,Retail,7,4266.1
2024-03-26,West,Tablet,Retail,3,1254.44
2024-03-27,North,Tablet,Partner,43,17657.32
2024-03-27,South,Tablet,Retail,18,7190.1
2024-03-29,South,Laptop,Online,50,41023.59
2024-03-30,East,Headphones,Partner,1,144.12
2024-03-30,West,Smartwatch,Retail,4,1094.46
2024-04-01,North,Laptop,Partner,10,7585.55
2024-04-01,East,Laptop,Partner,35,25908.86
2024-04-02,East,Tablet,Retail,23,8291.23
2024-04-02,South,Phone,Online,40,25780.03
2024-04-05,West,Headphones,Online,48,7364.31
2024-04-07,North,Headphones,Online,45,6890.94
2024-04-08,West,Tablet,Retail,5,2186.76
2024-04-08,East,Laptop,Partner,35,30524.91
2024-04-11,West,Smartwatch,Retail,25,5630.56
2024-04-11,South,Laptop,Online,16,14038.88
2024-04-12,North,Tablet,Retail,33,12931.31
2024-04-12,South,Phone,Retail,2,1166.62
2024-04-12,West,Tablet,Online,26,11374.95
2024-04-12,East,Headphones,Partner,42,6140.51
2024-04-14,West,Phone,Partner,21,13294.29
2024-04-16,West,Tablet,Retail,23,9311.3
2024-04-17,South,Laptop,Retail,50,40479.07
2024-04-17,West,Smartwatch,Partner,42,10126.72
2024-04-18,East,Phone,Partner,32,18799.23
2024-04-19,South,Tablet,Partner,5,2030.94
2024-04-19,South,Smartwatch,Retail,36,9353.11
2024-04-21,North,Phone,Partner,19,10793.89
2024-04-22,South,Smartwatch,Retail,6,1576.73
2024-04-22,South,Smartwatch,Retail,44,11562.27
2024-04-23,South,Phone,Retail,10,5945.97
2024-04-23,South,Laptop,Retail,36,31304.21
2024-04-25,South,Phone,Online,19,12185.3
2024-04-28,North,Phone,Online,14,8409.63
2024-04-29,East,Phone,Partner,1,573.27
2024-04-30,East,Laptop,Partner,24,19370.75
2024-04-30,West,Tablet,Retail,20,8131.94
2024-04-30,West,Laptop,Retail,15,10867.65
2024-05-01,West,Smartwatch,Retail,49,12858.91
2024-05-02,East,Headphones,Online,43,6637.7
2024-05-02,West,Phone,Retail,3,1734.54
2024-05-02,South,Smartwatch,Online,11,2476.47
2024-05-03,South,Smartwatch,Retail,4,910.11
2024-05-03,West,Smartwatch,Retail,25,6569.51
2024-05-03,South,Tablet,Partner,10,4244.62
2024-05-04,East,Phone,Retail,42,23078.51
2024-05-06,East,Smartwatch,Retail,41,9715.45
2024-05-08,South,Smartwatch,Retail,9,2306.26
2024-05-09,East,Laptop,Retail,33,28115.62
2024-05-11,West,Tablet,Partner,22,9335.45
2024-05-14,West,Smartwatch,Partner,21,5351.82
2024-05-15,North,Laptop,Partner,28,21708.68
2024-05-15,East,Smartwatch,Partner,26,6694.79
2024-05-18,North,Phone,Online,12,7100.61
