date,city,sector,stage,channel,funding_usd,revenue_usd,employees,burn_rate_usd
2024-01-01,Chennai,D2C,Series B,Angel Funded,847148.23,463421.26,476,179393.28
2024-01-02,Hyderabad,Healthtech,Series B,Bootstrapped,4038044.92,1156463.99,406,650745.74
2024-01-04,Mumbai,Edtech,Series C,Angel Funded,1561882.43,108237.38,329,636108.02
2024-01-05,Chennai,Edtech,Pre-Seed,Bootstrapped,2628791.51,279268.46,174,714905.66
2024-01-05,Delhi,Edtech,Series A,Angel Funded,2482817.32,311455.84,129,590849.85
2024-01-05,Chennai,Healthtech,Pre-Seed,Bootstrapped,5664186.01,667254.25,122,717165.16
2024-01-06,Chennai,Deeptech,Pre-Seed,Angel Funded,5446984.56,315298.45,398,2426527.58
2024-01-07,Delhi,Healthtech,Seed,Bootstrapped,6664884.02,759748.0,192,1061524.37
2024-01-07,Bengaluru,Edtech,Seed,VC Funded,3349861.06,223873.82,327,1020054.08
2024-01-08,Pune,SaaS,Pre-Seed,VC Funded,9938057.12,2222376.95,241,2379291.61
2024-01-09,Mumbai,Healthtech,Pre-Seed,VC Funded,5950308.34,716607.24,386,373153.4
2024-01-09,Mumbai,D2C,Seed,Angel Funded,3212707.16,657680.59,158,265016.37
2024-01-10,Bengaluru,SaaS,Series B,VC Funded,8394162.52,432415.46,51,1345368.95
2024-01-11,Pune,Edtech,Seed,VC Funded,1736546.55,98892.41,490,270880.74
2024-01-14,Chennai,Edtech,Series B,Angel Funded,1528769.71,250968.72,139,522311.55
2024-01-15,Hyderabad,Healthtech,Series B,Angel Funded,2490268.39,656737.95,70,612965.61
2024-01-16,Delhi,Fintech,Series B,Angel Funded,6074328.93,1034224.93,124,1486971.26
2024-01-16,Delhi,SaaS,Series A,Angel Funded,2510975.91,1813139.43,300,440692.76
2024-01-17,Hyderabad,Fintech,Series A,Angel Funded,4491097.72,740958.62,242,678269.27
2024-01-17,Delhi,SaaS,Series A,VC Funded,3687862.75,2283535.82,453,713907.0
2024-01-17,Chennai,SaaS,Series C,VC Funded,3925330.35,497273.44,309,222626.11
2024-01-22,Hyderabad,D2C,Seed,Bootstrapped,2565017.5,403313.54,495,159992.3
2024-01-23,Hyderabad,Healthtech,Seed,Bootstrapped,5163572.53,947438.99,406,721793.05
2024-01-24,Mumbai,SaaS,Series C,VC Funded,2061496.69,974895.5,113,419452.54
2024-01-24,Hyderabad,Fintech,Series B,Bootstrapped,10235274.8,662548.97,49,1643972.22
2024-01-24,Bengaluru,Deeptech,Series A,Angel Funded,12690753.88,85423.93,480,2148500.9
2024-01-25,Chennai,Healthtech,Series A,VC Funded,6296054.47,625690.41,209,1250783.88
2024-01-26,Bengaluru,Edtech,Pre-Seed,Bootstrapped,1903869.75,348120.75,223,482577.38
